suburb_name,image_location,local_government_area,optional_fun_fact,anchor_suburb
Kalinga,output/localities/Kalinga.jpg,Brisbane City,,Kalinga
Kangaroo Point,output/localities/Kangaroo Point.jpg,Brisbane City,,Kangaroo Point
Karana Downs,output/localities/Karana Downs.jpg,Brisbane City,,Karana Downs
Karawatha,output/localities/Karawatha.jpg,Brisbane City,,Karawatha
Kedron,output/localities/Kedron.jpg,Brisbane City,,Kedron
Kelvin Grove,output/localities/Kelvin Grove.jpg,Brisbane City,,Kelvin Grove
Kenmore and Kenmore Hills,output/combined_localities/Kenmore and Kenmore Hills.jpg,Brisbane City,,Kenmore
Keperra,output/localities/Keperra.jpg,Brisbane City,,Keperra
Kholo,output/localities/Kholo.jpg,Brisbane City,,Kholo
Kooringal,output/moreton_island_localities/Kooringal.jpg,Brisbane City,,Kooringal
Kuraby,output/localities/Kuraby.jpg,Brisbane City,,Kuraby
Lake Manchester,output/localities/Lake Manchester.jpg,Brisbane City,,Lake Manchester
Larapinta,output/localities/Larapinta.jpg,Brisbane City,Larapinta has a population of 0 as of 2021.,Larapinta
Lota,output/localities/Lota.jpg,Brisbane City,,Lota
Lutwyche,output/localities/Lutwyche.jpg,Brisbane City,,Lutwyche
Lytton,output/localities/Lytton.jpg,Brisbane City,,Lytton
MacGregor,output/localities/MacGregor.jpg,Brisbane City,,MacGregor
Mackenzie,output/localities/Mackenzie.jpg,Brisbane City,,Mackenzie
Manly and Manly West,output/combined_localities/Manly and Manly West.jpg,Brisbane City,,Manly
Mansfield,output/localities/Mansfield.jpg,Brisbane City,,Mansfield
McDowall,output/localities/McDowall.jpg,Brisbane City,,McDowall
Middle Park,output/localities/Middle Park.jpg,Brisbane City,,Middle Park
Milton,output/localities/Milton.jpg,Brisbane City,,Milton
Mitchelton,output/localities/Mitchelton.jpg,Brisbane City,,Mitchelton
Moggill,output/localities/Moggill.jpg,Brisbane City,,Moggill
Moorooka,output/localities/Moorooka.jpg,Brisbane City,,Moorooka
Moreton Bay,output/localities/Moreton Bay.jpg,Brisbane City,,Moreton Bay
Moreton Island,output/localities/Moreton Island.jpg,Brisbane City,,Moreton Island
Morningside,output/localities/Morningside.jpg,Brisbane City,,Morningside
Mount Coot-tha,output/localities/Mount Coot-tha.jpg,Brisbane City,,Mount Coot-tha
Mount Crosby,output/localities/Mount Crosby.jpg,Brisbane City,,Mount Crosby
Mount Gravatt + Mount Gravatt East + Upper Mount Gravatt,output/localities/Mount Gravatt.jpg,Brisbane City,Upper Mount Gravatt is actually further south and lower elevation than both other suburbs.,Mount Gravatt
Mount Ommaney,output/localities/Mount Ommaney.jpg,Brisbane City,,Mount Ommaney
Murarrie,output/localities/Murarrie.jpg,Brisbane City,,Murarrie
Nathan,output/localities/Nathan.jpg,Brisbane City,,Nathan
New Farm,output/localities/New Farm.jpg,Brisbane City,,New Farm
